,Unnamed: 0,date,days_before,bookings,weather_temp,weather_rain,weather_available,visitors,bookings_increase
7564,7564,2022-07-01,4,1908.0,26.8,0.0,1,3465,1.1013958098705627
7565,7565,2022-07-01,7,1805.0,26.8,0.0,1,3465,1.3830419861401302
7566,7566,2022-07-01,10,1647.0,0.0,0.0,0,3465,1.6348843687398504
7567,7567,2022-07-01,21,1261.0,0.0,0.0,0,3465,2.400992928892413
7568,7568,2022-07-02,4,2951.0,22.6,0.0,1,6001,0.9427205228079416
7569,7569,2022-07-02,7,2529.0,22.6,0.0,1,6001,1.2600331953088524
7570,7570,2022-07-02,10,2276.0,0.0,0.0,0,6001,1.4620630198978397
7571,7571,2022-07-02,21,1639.0,0.0,0.0,0,6001,2.281823825237157
7572,7572,2022-07-03,4,2732.0,24.1,1.0,1,6787,1.0710434639933182
7573,7573,2022-07-03,7,2165.0,24.1,1.0,1,6787,1.5712148271388764
7574,7574,2022-07-03,10,1946.0,0.0,0.0,0,6787,1.8624299958529416
7575,7575,2022-07-03,21,1248.0,0.0,0.0,0,6787,3.199187781229912
7576,7576,2022-07-04,4,2541.0,23.3,1.0,1,4306,1.2024005002782918
7577,7577,2022-07-04,7,2171.0,23.3,1.0,1,4306,1.599847128485504
7578,7578,2022-07-04,10,1978.0,0.0,0.0,0,4306,1.980276483946361
7579,7579,2022-07-04,21,1467.0,0.0,0.0,0,4306,2.7664257761048514
7580,7580,2022-07-05,4,3435.0,20.9,0.0,1,7657,1.528912476400479
7581,7581,2022-07-05,7,2862.0,20.9,0.0,1,7657,1.9834382356445657
7582,7582,2022-07-05,10,2569.0,0.0,0.0,0,7657,2.364940503009331
7583,7583,2022-07-05,21,2038.0,0.0,0.0,0,7657,3.3309179242461893
7584,7584,2022-07-06,4,3039.0,22.1,0.0,1,7726,1.5045996671516462
7585,7585,2022-07-06,7,2601.0,22.1,0.0,1,7726,1.9344143017093736
7586,7586,2022-07-06,10,2338.0,0.0,0.0,0,7726,2.348158310775996
7587,7587,2022-07-06,21,1916.0,0.0,0.0,0,7726,3.304793402095951
7588,7588,2022-07-07,4,2546.0,18.4,1.0,1,4220,1.0842625704005042
7589,7589,2022-07-07,7,2218.0,18.4,1.0,1,4220,1.5618948663810042
7590,7590,2022-07-07,10,1973.0,0.0,0.0,0,4220,1.9080135639074525
7591,7591,2022-07-07,21,1612.0,0.0,0.0,0,4220,2.847218716767104
7592,7592,2022-07-08,4,2662.0,21.6,0.0,1,6768,1.4813584863377067
7593,7593,2022-07-08,7,2282.0,21.6,0.0,1,6768,2.121697920954799
7594,7594,2022-07-08,10,2012.0,0.0,0.0,0,6768,2.5521804163200468
7595,7595,2022-07-08,21,1355.0,0.0,0.0,0,6768,4.093397285900668
7596,7596,2022-07-09,4,3454.0,22.0,0.0,1,7672,1.2840743082080075
7597,7597,2022-07-09,7,2785.0,22.0,0.0,1,7672,1.882191649305389
7598,7598,2022-07-09,10,2514.0,0.0,0.0,0,7672,2.1948943567268846
7599,7599,2022-07-09,21,1714.0,0.0,0.0,0,7672,3.4982806371343016
7600,7600,2022-07-10,4,2970.0,18.2,1.0,1,6081,1.2089494070827889
7601,7601,2022-07-10,7,2434.0,18.2,1.0,1,6081,1.7228150806343807
7602,7602,2022-07-10,10,2168.0,0.0,0.0,0,6081,2.08888095682143
7603,7603,2022-07-10,21,1769.0,0.0,0.0,0,6081,2.931216921098669
7604,7604,2022-07-11,4,3737.0,23.0,0.0,1,8192,1.3662468002401995
7605,7605,2022-07-11,7,3025.0,23.0,0.0,1,8192,1.7886223433017077
7606,7606,2022-07-11,10,2756.0,0.0,0.0,0,8192,2.1253050385611427
7607,7607,2022-07-11,21,2171.0,0.0,0.0,0,8192,2.989675583520912
7608,7608,2022-07-12,4,4186.0,27.0,0.0,1,8641,0.9418292707176616
7609,7609,2022-07-12,7,3484.0,27.0,0.0,1,8641,1.240727576378438
7610,7610,2022-07-12,10,3051.0,0.0,0.0,0,8641,1.5538676783129963
7611,7611,2022-07-12,21,2432.0,0.0,0.0,0,8641,2.227495803016219
7612,7612,2022-07-13,4,3730.0,24.9,1.0,1,8423,1.6635781854440572
7613,7613,2022-07-13,7,3118.0,24.9,1.0,1,8423,2.0900745791285784
7614,7614,2022-07-13,10,2765.0,0.0,0.0,0,8423,2.5749264090544663
7615,7615,2022-07-13,21,2182.0,0.0,0.0,0,8423,3.7416399243152494
7616,7616,2022-07-14,4,3567.0,20.8,1.0,1,7511,1.4699656624025428
7617,7617,2022-07-14,7,2966.0,20.8,1.0,1,7511,1.9555546694877275
7618,7618,2022-07-14,10,2653.0,0.0,0.0,0,7511,2.472371656562483
7619,7619,2022-07-14,21,2072.0,0.0,0.0,0,7511,3.8570143884892087
7620,7620,2022-07-15,4,3270.0,19.3,1.0,1,8236,1.6571646518755687
7621,7621,2022-07-15,7,2660.0,19.3,1.0,1,8236,2.3008084727948903
7622,7622,2022-07-15,10,2349.0,0.0,0.0,0,8236,2.822070967214456
7623,7623,2022-07-15,21,1684.0,0.0,0.0,0,8236,4.685644748376607
7624,7624,2022-07-16,4,3826.0,19.7,1.0,1,8064,0.9376967785899124
7625,7625,2022-07-16,7,3025.0,19.7,1.0,1,8064,1.4197138289517968
7626,7626,2022-07-16,10,2657.0,0.0,0.0,0,8064,1.7676635954325972
7627,7627,2022-07-16,21,1855.0,0.0,0.0,0,8064,3.0648250631406926
7628,7628,2022-07-17,4,3386.0,21.5,0.0,1,8422,1.2661330304781682
7629,7629,2022-07-17,7,2649.0,21.5,0.0,1,8422,1.824800392432736
7630,7630,2022-07-17,10,2353.0,0.0,0.0,0,8422,2.231635679297719
7631,7631,2022-07-17,21,1623.0,0.0,0.0,0,8422,3.574116632558754
7632,7632,2022-07-18,4,4341.0,23.3,0.0,1,9160,1.587982541111595
7633,7633,2022-07-18,7,3438.0,23.3,0.0,1,9160,2.156460646343124
7634,7634,2022-07-18,10,3052.0,0.0,0.0,0,9160,2.496194485651856
7635,7635,2022-07-18,21,2283.0,0.0,0.0,0,9160,3.410104244701798
7636,7636,2022-07-19,4,4525.0,26.5,0.0,1,8811,1.4593235635183943
7637,7637,2022-07-19,7,3772.0,26.5,0.0,1,8811,1.935582892947818
7638,7638,2022-07-19,10,3382.0,0.0,0.0,0,8811,2.2191959961252827
7639,7639,2022-07-19,21,2606.0,0.0,0.0,0,8811,2.9652791541550867
7640,7640,2022-07-20,4,4239.0,33.0,0.0,1,7905,1.5263495125256463
7641,7641,2022-07-20,7,3734.0,33.0,0.0,1,7905,1.8929253722700787
7642,7642,2022-07-20,10,3385.0,0.0,0.0,0,7905,2.2005079074963896
7643,7643,2022-07-20,21,2611.0,0.0,0.0,0,7905,3.2866536744168666
7644,7644,2022-07-21,4,3396.0,35.6,0.0,1,5626,1.4005274440518258
7645,7645,2022-07-21,7,2983.0,35.6,0.0,1,5626,1.7568082694722489
7646,7646,2022-07-21,10,2636.0,0.0,0.0,0,5626,2.1656522647931187
7647,7647,2022-07-21,21,2033.0,0.0,0.0,0,5626,3.4712578279287283
7648,7648,2022-07-22,4,3337.0,27.0,1.0,1,6638,1.2334066389405516
7649,7649,2022-07-22,7,2815.0,27.0,1.0,1,6638,1.7200676187009822
7650,7650,2022-07-22,10,2422.0,0.0,0.0,0,6638,2.1667745157877176
7651,7651,2022-07-22,21,1783.0,0.0,0.0,0,6638,3.646560631001311
7652,7652,2022-07-23,4,3974.0,16.6,0.0,1,8343,1.7348406315383016
7653,7653,2022-07-23,7,3181.0,16.6,0.0,1,8343,2.403613078869379
7654,7654,2022-07-23,10,2663.0,0.0,0.0,0,8343,3.084335807095581
7655,7655,2022-07-23,21,1917.0,0.0,0.0,0,8343,4.814090101682588
7656,7656,2022-07-24,4,3234.0,21.8,0.0,1,9044,1.5212127992081006
7657,7657,2022-07-24,7,2593.0,21.8,0.0,1,9044,2.052320115076807
7658,7658,2022-07-24,10,2304.0,0.0,0.0,0,9044,2.43798225308642
7659,7659,2022-07-24,21,1770.0,0.0,0.0,0,9044,3.621084680636285
7660,7660,2022-07-25,4,3890.0,24.1,1.0,1,6534,1.1978003038093012
7661,7661,2022-07-25,7,3225.0,24.1,1.0,1,6534,1.55014196217191
7662,7662,2022-07-25,10,2909.0,0.0,0.0,0,6534,1.833000932904256
7663,7663,2022-07-25,21,2151.0,0.0,0.0,0,6534,2.712063900231036
7664,7664,2022-07-26,4,4012.0,21.1,0.0,1,8484,1.7636098495684425
7665,7665,2022-07-26,7,3670.0,21.1,0.0,1,8484,2.0841008278945465
7666,7666,2022-07-26,10,3375.0,0.0,0.0,0,8484,2.3506388888888887
7667,7667,2022-07-26,21,2653.0,0.0,0.0,0,8484,3.3078394697352227
7668,7668,2022-07-27,4,3975.0,22.1,0.0,1,8538,1.3251368921853992
7669,7669,2022-07-27,7,3410.0,22.1,0.0,1,8538,1.6509867187780864
7670,7670,2022-07-27,10,3083.0,0.0,0.0,0,8538,1.9151021141769908
7671,7671,2022-07-27,21,2402.0,0.0,0.0,0,8538,2.8658310340511446
7672,7672,2022-07-28,4,3710.0,21.8,0.0,1,9010,1.6477457903313415
7673,7673,2022-07-28,7,3041.0,21.8,0.0,1,9010,2.177072759246815
7674,7674,2022-07-28,10,2682.0,0.0,0.0,0,9010,2.7138892912515624
7675,7675,2022-07-28,21,2057.0,0.0,0.0,0,9010,4.09753765748157
7676,7676,2022-07-29,4,3204.0,24.4,0.0,1,8962,2.143237329165142
7677,7677,2022-07-29,7,2537.0,24.4,0.0,1,8962,2.9618210812840964
7678,7678,2022-07-29,10,2293.0,0.0,0.0,0,8962,3.784363406896774
7679,7679,2022-07-29,21,1801.0,0.0,0.0,0,8962,5.5297643153330895
7680,7680,2022-07-30,4,3826.0,26.5,0.0,1,8440,1.2006633996785654
